               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077987,             0.01641,           0.0077916,             0.52375,             0.68878,             0.57757,             0.20372,            0.046255,           0.0085488,           0.0011881,            0.070068,           0.0033258,           0.0033258
                   1,            0.048686,            0.012856,           0.0019838,             0.53634,             0.76531,             0.61703,             0.26982,            0.037476,           0.0059027,           0.0012945,             0.03993,           0.0065218,           0.0065218
                   2,            0.043212,           0.0098639,           0.0019076,              0.7866,             0.91497,             0.90672,             0.45805,             0.03869,           0.0045456,           0.0012568,           0.0096554,           0.0095803,           0.0095803
                   3,            0.037098,           0.0079538,           0.0015914,             0.95104,             0.99099,             0.97085,              0.5079,            0.028082,           0.0042753,           0.0010659,           0.0093813,           0.0093813,           0.0093813
                   4,            0.031867,           0.0068249,           0.0012525,               0.976,              0.9949,             0.98155,             0.69877,            0.019959,           0.0036935,          0.00089829,           0.0093813,           0.0093813,           0.0093813
                   5,            0.029272,           0.0063716,           0.0010604,             0.97484,              0.9949,             0.98048,             0.54888,            0.026373,            0.003654,          0.00083007,            0.009175,            0.009175,            0.009175
                   6,             0.02725,             0.00597,          0.00091655,               0.966,              0.9932,             0.97975,             0.71438,            0.021023,           0.0034214,          0.00071209,           0.0089688,           0.0089688,           0.0089688
                   7,            0.025611,           0.0056551,          0.00081717,             0.97163,              0.9932,             0.98314,             0.73022,            0.017917,           0.0032655,          0.00064252,           0.0087625,           0.0087625,           0.0087625
                   8,            0.024515,           0.0055545,          0.00074192,             0.96692,             0.99435,             0.98285,             0.76195,            0.015803,           0.0033413,          0.00062072,           0.0085562,           0.0085562,           0.0085562
                   9,            0.023538,           0.0054337,          0.00068388,             0.97147,             0.98444,              0.9798,             0.74493,            0.017017,           0.0032365,          0.00053668,             0.00835,             0.00835,             0.00835
                  10,            0.022487,           0.0053274,          0.00064251,             0.97363,             0.98469,             0.98479,             0.75672,            0.016028,           0.0032269,          0.00051231,           0.0081437,           0.0081437,           0.0081437
