               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021367,           0.0067445,           0.0056918,             0.98491,             0.48433,             0.53655,             0.44311,            0.013058,           0.0038932,           0.0021666,            0.070031,           0.0033299,           0.0033299
                   1,            0.021363,           0.0053928,           0.0013845,             0.92003,             0.91716,             0.94145,             0.61969,            0.015932,           0.0031723,            0.001487,            0.039976,           0.0066082,           0.0066082
                   2,            0.022607,           0.0050436,           0.0011501,              0.8895,             0.86132,             0.90825,             0.67975,            0.015586,           0.0034297,           0.0021991,           0.0098664,           0.0098316,           0.0098316
                   3,            0.022066,           0.0050734,           0.0010916,             0.93889,              0.9332,             0.95313,             0.75771,             0.01504,           0.0032938,             0.00105,           0.0097525,           0.0097525,           0.0097525
                   4,            0.021194,           0.0048953,          0.00071955,             0.91162,             0.92772,             0.92953,             0.75013,            0.013688,           0.0031303,            0.001325,           0.0097525,           0.0097525,           0.0097525
                   5,            0.020272,           0.0047557,          0.00062916,             0.92199,             0.93616,             0.95296,             0.78593,            0.013045,           0.0030772,           0.0011888,             0.00967,             0.00967,             0.00967
                   6,            0.020119,           0.0047843,          0.00062328,             0.93857,             0.95895,              0.9715,             0.78381,            0.013404,           0.0030035,          0.00068565,           0.0095875,           0.0095875,           0.0095875
                   7,            0.019565,           0.0046956,          0.00065565,             0.93018,             0.95863,             0.97494,             0.78483,            0.013154,           0.0030637,          0.00085152,            0.009505,            0.009505,            0.009505
                   8,             0.01905,           0.0045744,          0.00050838,             0.94963,             0.94996,             0.97571,             0.78566,            0.013011,           0.0029889,             0.00081,           0.0094225,           0.0094225,           0.0094225
                   9,            0.018748,           0.0045072,          0.00050482,             0.95127,             0.95372,             0.98074,              0.8087,            0.012359,           0.0028623,          0.00070649,             0.00934,             0.00934,             0.00934
                  10,            0.018453,           0.0044493,          0.00050379,             0.94826,             0.95157,             0.97298,             0.82169,            0.011998,           0.0029253,          0.00062623,           0.0092575,           0.0092575,           0.0092575
                  11,            0.018298,            0.004423,          0.00045971,              0.9359,             0.94953,             0.96776,             0.79835,            0.012005,           0.0028495,          0.00082998,            0.009175,            0.009175,            0.009175
                  12,            0.018093,           0.0044081,          0.00049491,             0.93991,             0.95207,             0.96458,             0.79747,            0.011991,           0.0028615,          0.00072292,           0.0090925,           0.0090925,           0.0090925
                  13,            0.017933,           0.0044132,          0.00041501,             0.93571,             0.95178,              0.9721,             0.80194,            0.011921,           0.0028264,          0.00087898,             0.00901,             0.00901,             0.00901
                  14,            0.017687,            0.004351,          0.00038667,              0.9466,             0.94726,             0.97012,             0.80356,            0.011829,           0.0027854,          0.00073673,           0.0089275,           0.0089275,           0.0089275
                  15,            0.017572,           0.0043233,          0.00035297,             0.95141,              0.9528,              0.9795,             0.82801,            0.011644,           0.0027864,          0.00076537,            0.008845,            0.008845,            0.008845
                  16,            0.017642,           0.0043221,          0.00045953,             0.94334,             0.96063,             0.97969,             0.82071,            0.011462,           0.0027367,          0.00063765,           0.0087625,           0.0087625,           0.0087625
                  17,            0.017355,           0.0042874,          0.00041572,             0.96209,              0.9417,             0.98221,             0.82692,            0.011555,           0.0027602,          0.00058409,             0.00868,             0.00868,             0.00868
                  18,              0.0171,           0.0042446,          0.00036917,             0.94182,             0.94884,             0.97889,              0.8208,            0.011317,           0.0026996,          0.00066752,           0.0085975,           0.0085975,           0.0085975
                  19,            0.017229,           0.0043013,          0.00042222,              0.9463,             0.94833,             0.98083,             0.82578,            0.011316,           0.0026939,          0.00072012,            0.008515,            0.008515,            0.008515
                  20,            0.017067,           0.0042031,          0.00040471,             0.94665,             0.92412,             0.97027,             0.82247,            0.011185,           0.0026715,           0.0010026,           0.0084325,           0.0084325,           0.0084325
                  21,            0.016994,           0.0042259,          0.00032007,             0.95161,             0.94137,             0.97497,             0.81611,            0.011163,           0.0026635,          0.00069964,             0.00835,             0.00835,             0.00835
